Nom	XP
Dorade Grise	0,16
Noix de Cajou	0,161
Cuir de Boostache Prépubère	0,162
Cuir de Gargrouille	0,162
Cuir du Cochon de Lait	0,166
Argent	0,17
Bois de Merisier	0,17
Graine de Pandouille	0,17
Malt	0,17
Perche	0,17
Antennes de Vilinsekt	0,176
Cuir de Ouassingue	0,176
Dent de Garglyphe	0,176
Dent de Tofu Mutant	0,176
Œil de Tofu Noir	0,176
Œuf de Tofu	0,176
Patte de Tofukaz	0,176
Plume de Tofu	0,176
Estomac de Ouassingue	0,18
Ficelle en Lin	0,18
Côtes du Rib	0,183
Patte d'Arakne Majeure	0,184
Bois de Noisetier	0,19
Raie Bleue	0,19
Bauxite	0,2
Bois d'Ébène	0,2
Chanvre	0,2
Ginseng	0,2
Lotte	0,2
Rune Per Pi	0,2
Rune Pui	0,2
Rune Ré Air	0,2
Rune Ré Cri	0,2
Rune Ré Eau	0,2
Rune Ré Feu	0,2
Rune Ré Neutre	0,2
Rune Ré Pou	0,2
Rune Ré Terre	0,2
Lamelle de Champa Bleu	0,202
Lamelle de Champa Marron	0,202
Lamelle de Champa Rouge	0,202
Lamelle de Champa Vert	0,202
Bois de Tronknyde	0,206
Bonnet de Gobaliste	0,206
Longue-vue de Gob-Trotteur	0,206
Os rongé de Gobichon	0,206
Pic de Lance de Gobet	0,206
Tambour de Gobaladée	0,206
Graine de la Discorde	0,207
Viande Minérale	0,208
Bois de Kaliptus	0,21
Requin Marteau-Faucille	0,21
Ailes de Scarafeuille Bleu	0,214
Ailes de Scarafeuille Vert	0,214
Miroir de Dopeul	0,214
Bar Rikain	0,22
Belladone	0,22
Bois de Charme	0,22
Maïs	0,22
Or	0,22
Ailes du Scarafeuille Noir	0,221
Papier Charbon	0,223
Rune Pa Age	0,225
Rune Pa Cha	0,225
Rune Pa Fo	0,225
Rune Pa Ine	0,225
Rune Pa Vi	0,225
Slip de Bwork Archer	0,229
Corail Kouraçao	0,236
Corail Malibout	0,236
Corail Morito	0,236
Corail Passaoh	0,236
Plume Graisseuse du Tofu Ventripotent	0,239
Bois de Bambou Sombre	0,24
Morue	0,24
Bourse Suspecte	0,243
Bulbe Kouraçao	0,245
Bulbe Malibout	0,245
Bulbe Morito	0,245
Bulbe Passaoh	0,245
Sceau Royal Contrefait	0,245
Poils de Barbe du Bwork Mage	0,248
Branche de Tiwabbit Kiafin	0,249
Groin de Sanglier des Plaines	0,249
Bois d'Orme	0,25
Dolomite	0,25
Mandragore	0,25
Millet	0,25
Poils de souris	0,25
Ronce ephedryenne	0,25
Tanche	0,25
Os Surprise du Chafer Fantassin	0,253
Bec du Kwak de Flamme	0,254
Bec du Kwak de Glace	0,254
Bec du Kwak de Terre	0,254
Bec du Kwak de Vent	0,254
Capsule Explosive	0,254
Coccyx du Corailleur	0,254
Griffes de Kwak	0,254
Plume du Kwak de Flamme	0,254
Plume du Kwak de Glace	0,254
Plume du Kwak de Terre	0,254
Plume du Kwak de Vent	0,254
Bois de Bambou Sacré	0,26
Chaînes Brisées	0,26
Espadon	0,26
Crâne de Kardorim	0,263
Dent de Larve Saphir	0,263
Moustaches de Tiwabbit	0,263
Graine de Sésame	0,266
Gelée Bleuet	0,267
Bois de Tremble	0,27
Frostiz	0,27
Obsidienne	0,27
Perce-Neige	0,27
Poisskaille	0,27
Bandeau du Black Tiwabbit	0,272
Cuir de Porkass	0,272
Dent de Crocodaille	0,272
Flèche du Chafer Archer	0,272
Miséricorde du Chafer d'Élite	0,272
Œil de Raul Mops	0,272
Paupière d'Étoile	0,272
Pince de Crabe	0,272
Poil d'Abrakne	0,272
Relique Familiale	0,272
Slip en cuir du Chafer Lancier	0,272
Sueur Froide de Fantôme	0,272
Tatouage de Mauvais Garçon	0,272
Trident Cassé	0,272
Vieille Partition	0,272
Ambre	0,278
Dent de Larve Émeraude	0,282
Gelée Citron	0,283
Gelée à la Menthe	0,284
Racine d'Abraknyde	0,291
Patte de Wabbit	0,292
Noix de Pécan	0,299
Mâchoire du Chafer Draugr	0,3
Gros Boulet	0,301
Dent de Larve Rubis	0,302
Racine de Tronkoblop	0,302
Kokopaille	0,304
Gelée à la Fraise	0,305
Viande Tendre	0,31
Corne de Buffalourd	0,312
Croc de Trankilou	0,312
Carapace Bleue	0,313
Carapace Jaune	0,313
Carapace Rouge	0,313
Carapace Verte	0,313
Feuille de Tikoko	0,313
Griffe de Grolours	0,313
Noix de Grokoko Traumatisée	0,313
Plume de Thomondor	0,313
Tranche de Nodkoko	0,313
Tronc de Kokoko	0,313
Patte de Black Wabbit	0,319
Fleur de Blopignon	0,322
Patte de Twakeuf	0,326
Épaulière de Bwork	0,328
Dent de Larve Dorée	0,33
Œil Bionique	0,337
Os de Wabbit Squelette	0,341
Haïku du dragon : Passion	0,342
Haïku du dragon : Résolution	0,342
Emballage Suspect	0,348
Peau Égrotante	0,354
Dent de Waddict	0,36
Sourcil de Moskito	0,364
Bandeau de Black Wabbit Squelette	0,371
Peau de Ramane d'Égoutant	0,371
Fourrure de Timongouste	0,373
Tendon de Waccro	0,383
Gratrooll Industriel	0,384
Peau de Mob l'Éponge	0,391
Aile de Bourdard	0,395
Chaîne de Robot Fléau	0,395
Coque Endommagée	0,395
Oreille de Guerrier Mental	0,395
Peau de serpentin	0,395
Poils de Barbe du Grand Pa Wabbit	0,395
Queue de Rat d'Hyoactif	0,395
Bave de Rose Démoniaque	0,398
Charnière Cassée	0,404
Dent de Larve Champêtre	0,404
Estomac de Wo Wabbit	0,404
Griffe de Robionicle	0,404
Souris verte	0,404
Pierre du Craqueleur	0,41
Fleur de Gloutoblop	0,426
Coton Ancestral	0,428
Herbe Folle	0,428
Fraise	0,429
Engrais	0,434
Patte d'Arakne Magique	0,443
Canine de Gobelin	0,444
Feuille de Tournesol Sauvage	0,446
Fil de Soie	0,446
Poil de Rat d'Égoutant	0,446
Poupée Vaudou Ark	0,446
Poupée Vaudou Eth	0,446
Poupée Vaudou Jav	0,446
Poupée Vaudou Sarbak	0,446
Poupée Vaudou Tam	0,446
Viande Ladre	0,446
Bois Vermoulu	0,448
Sporme du Champ Champ	0,448
Ferrite	0,45
Planche Agglomérée	0,45
Rune Pa Ini	0,45
Rune Pa Pod	0,45
Rune Prospe	0,45
Rune Sa	0,45
Boîte de Vétauran	0,453
Eau calme	0,455
Casque du Chafer Primitif	0,463
Œil de Craquelope	0,471
Pic de dragodinde	0,48
Sang de Bouftou	0,487
Aile de volkorne ebène	0,488
Aile de volkorne indigo	0,488
Aile de volkorne orchidée	0,488
Aile de volkorne pourpre	0,488
Moustache de muldo doré	0,488
Moustache de muldo ebène	0,488
Moustache de muldo indigo	0,488
Moustache de muldo orchidée	0,488
Moustache de muldo pourpre	0,488
Flamme Spectrale	0,492
Chicot du Flib	0,494
Silex	0,499
Écaille poisseuse	0,507
Foulard du Sparo	0,508
Clef de la Crypte de Kardorim	0,525
Graines de Citwouille Maudites	0,525
Maillot de corps de Barbroussa	0,534
Peau de Koalak Immature	0,534
Sang du Kido	0,535
Noeul Mort	0,542
Fragment de Pierre Pointue	0,543
Fragment de Pierre Polie	0,549
Papatte de Croc Gland	0,549
Pierre de Diamant	0,55
Babines de Macien	0,565
Champignon	0,565
Graine de Scorbute	0,565
Laine du Boufcoul	0,565
Main de Boo	0,565
Moustache de Kolérat	0,565
Oreille de Foufayteur	0,565
Plume de Crowneille	0,565
Queue de dragodinde sauvage	0,565
Feuille de Rose Obscure	0,574
Poil de Vétauran	0,578
Crinière de Scélérat Strubien	0,582
Liquide vampiresque	0,584
Étoffe du Sanglier	0,609
Ambre d'Abraknyde Sombre	0,619
Cuir de Bouftou Royal	0,619
Écaille de Chef Crocodaille	0,626
Coquille de Dragoeuf Ardoise	0,628
Coquille de Dragoeuf Argile	0,628
Coquille de Dragoeuf Charbon	0,628
Ongle de Kanigrou	0,628
Peau de Dragoeuf Albâtre	0,628
Jeton du Chazino des Ecaflipuces	0,63
Viande Avariée	0,641
Charbon	0,656
Pic de dragodinde dorée	0,659
Étoffe d'Écurouille	0,665
Œil de Ramane Strubien	0,665
Patte d'Arakne des Égouts	0,665
Poils de Darit	0,665
Rondelles de Milirat Strubien	0,665
Scalp de Milimulou	0,667
Rune Pata Age	0,675
Rune Pata Cha	0,675
Rune Pata Fo	0,675
Rune Pata Ine	0,675
Rune Pata Vi	0,675
Rune Ra Age	0,675
Rune Ra Cha	0,675
Rune Ra Fo	0,675
Rune Ra Ine	0,675
Rune Ra Vi	0,675
Rune Rata Age	0,675
Rune Rata Cha	0,675
Rune Rata Fo	0,675
Rune Rata Ine	0,675
Rune Rata Vi	0,675
Rune Ta Age	0,675
Rune Ta Cha	0,675
Rune Ta Fo	0,675
Rune Ta Ine	0,675
Rune Ta Vi	0,675
Tissu Invisible	0,682
Cœur de Boue du Boo	0,692
Pétale Magique du Tournesol Affamé	0,692
Étoffe de Dok Alako	0,711
Pierre Médicinale	0,711
Coquille de Dragoeuf Calcaire	0,717
Plume de Tofu Maléfique	0,758
Bougie du Mineur Sombre	0,763
Boue Novice	0,785
Flaque Novice	0,785
Fumée Novice	0,785
Poudre Novice	0,785
Casque Cassé du Chafer	0,788
Rune Fui	0,8
Rune Tac	0,8
Pierre d'Émeraude	0,802
Pierre de Granit	0,809
Boomerang du Warko Marron	0,823
Viande Sanguinolente	0,834
Bâton de Blanc Pa Wabbit	0,841
Casque de Wobot	0,841
Estomac de Black Wo Wabbit	0,841
Lunettes de Tiwobot	0,841
Œil de Léolhyène	0,841
Poil de Wobot Kiafin	0,841
Racine d'Abraknyde Sombre	0,844
Boule de Boulépique	0,862
Écailles d'Ouroboulos	0,862
Queue de Fennex	0,862
Queue de Scordion Bleu	0,862
Racine d'Abraknyde Vénérable	0,862
Rune Pa Per Pi	0,9
Rune Pa Pui	0,9
Rune Pa Ré Air	0,9
Rune Pa Ré Cri	0,9
Rune Pa Ré Eau	0,9
Rune Pa Ré Feu	0,9
Rune Pa Ré Neutre	0,9
Rune Pa Ré Pou	0,9
Rune Pa Ré Terre	0,9
Rune Pata Ré Pou	0,9
Os de Trooll	0,915
Masque Brisé d'Araknotron	0,926
Pince de Crabe Hijacob	0,926
Ailes du Scarabosse Doré	0,946
Boostoplasme	0,946
Plume de Gélikan	0,951
Cendres Novices	0,957
Os de Pékeualak	0,969
Peau de Piralak	0,969
Poils de Koalak Coco	0,969
Poils de Koalak Forestier	0,969
Poils de Koalak Griotte	0,969
Poils de Koalak Indigo	0,969
Poils de Koalak Reinette	0,969
Dent de Kwoan	0,974
Langue de Gargrouille	0,974
Queue de Boostache Prépubère	0,974
Poil de Chachachovage	0,976
Colonne Vertébrale	0,979
Chauve-souris	0,998
Pépite	1
Étoffe de Rat Bougri	1,003
Bandelettes	1,012
Bombe de Graboule	1,012
Botte trouée de Mégabwork	1,012
Bourgeon de Pirolienne	1,012
Corne du Boufcoul	1,012
Couteau de Roukouto	1,012
Oreille de Médibwork	1,012
Peau de Krambwork	1,012
Roue de Tivelo	1,012
Tissu Pourpre	1,012
Corne de volkorne	1,025
Patte de Kankreblath	1,029
Plume de Batofu	1,029
Champignon Luidegît	1,037
Chélicères d'Arapex	1,039
Dent de Gargantûl	1,039
Écorce d'Abrakne Sombre	1,039
Fil de Néfileuse	1,039
Laine de Dardalaine	1,039
Œil de Saltik	1,039
Haïku du dragon : Création	1,044
Haïku du dragon : Destruction	1,044
Cire de Gligli Améliorée	1,05
Peau de Kraméléhon	1,054
Cocon de Ver à Soie	1,064
Crâne de Chafer	1,064
Duvet de Tofoune	1,064
Estomac de Tofu Ventripotent	1,064
Estomac de Tofukaz	1,064
Œuf Pourri	1,064
Rondelle de Bois	1,064
Slip en Cuir Moulant du Garglyphe	1,064
Tissu Sombre	1,064
Cuir de Porsalu	1,067
Mâchoire de Rib	1,073
Huile de Tournesol Sauvage	1,075
Feuille de Fourbasse	1,094
Fleur de Gloutovore	1,094
Manuel du Directeur Grunob	1,094
Plume de Domoizelle	1,094
Plume de Dostrogo	1,094
Trukikol Mort	1,094
Bandeau de Nakunbra	1,103
Boulet de Canondorf	1,103
Caleçon Mignon du Pirate	1,103
Canif Rouillé	1,103
Rhum de Qualité	1,103
Viande Rassie	1,103
Cawotte	1,106
Queue du Mulou	1,121
Eau Ferrugineuse	1,151
Viscères de Scarafeuille	1,198
Huile de Sésame	1,199
Aluminite	1,2
Corps de Quintaine	1,2
Planche Contreplaquée	1,2
Huile de Frostiz	1,215
Sourcils de Tronknyde	1,226
Patte de Bouledogre	1,236
Rune de chasse	1,25
Rune Do Air	1,25
Rune Do Cri	1,25
Rune Do Eau	1,25
Rune Do Feu	1,25
Rune Do Neutre	1,25
Rune Do Pi	1,25
Rune Do Pou	1,25
Rune Do Ren	1,25
Rune Do Terre	1,25
Peau de Drakoalak	1,262
Plume de Gobvious	1,262
Fémur du Chafer Rōnin	1,288
Os de Mama Koalak	1,297
Jeton du Chazino des Matougarous	1,305
Dent de Molette	1,323
Bec de Vilain Petit Tofu	1,331
Jaune d'Œuf de Krokille	1,339
Serrure du Coffre des Forgerons	1,339
Poil de Capsaaloocke	1,34
Pustule de Rat Sio	1,34
Short de Capoei Rat	1,34
Canine de Mergranlou	1,349
Coquille de Dragoss Protéiforme	1,349
Écaille de Dragoss Ardoise	1,349
Écaille de Dragoss Argile	1,349
Écaille de Dragoss Calcaire	1,349
Écaille de Dragoss Charbon	1,349
Griffe de Muloubard	1,349
Œil de Cocholou	1,349
Oreille de Rhinoféroce	1,349
Poils de Mulounoké	1,349
Rune Pata Ini	1,35
Rune Pata Pod	1,35
Rune Ra Ini	1,35
Rune Ra Pod	1,35
Rune Rata Ini	1,35
Rune Rata Pod	1,35
Rune Ta Ini	1,35
Rune Ta Pod	1,35
Scalp de Bwork Archer	1,382
Peau de Bworkette	1,389
Pince de Crustorail	1,398
Pierre de souillure bleue impure	1,401
Sac à Patates Clair	1,401
Sac à Patates Sombre	1,401
Clef des Champs	1,406
Viande Exsudative	1,424
Bave de Ouassingue	1,443
Pierre de souillure jaune impure	1,448
Pierre de souillure verte impure	1,452
Paille Vampiresque	1,454
Pétale Kouraçao	1,454
Pétale Malibout	1,454
Pétale Morito	1,454
Pétale Passaoh	1,454
Pièce du Puzzle de la Griffe	1,454
Pièce du Trésor du Badoul	1,454
Antenne de Trésantène	1,458
Corde de Boursoin	1,458
Corne de Berserkoffre	1,458
Langue de Mimikado	1,458
Moustache précieuse	1,458
Lait de Cochon de Lait	1,461
Carapace de Scaratos	1,467
Plumeau de Tofuzmo	1,467
Plume de Buveur	1,47
Plume de Corbac Apprivoisé	1,47
Collier de Chak Rat	1,477
Lance de Chika Rat	1,477
Lance-Pierre de Scélée Rate	1,477
Ouvrage magique d'Aloevée Rate	1,477
Livre du Bwork Mage	1,48
Bandelette du Mominotor	1,483
Cendres de Tofutoflamme	1,483
Cuir de Déminoboule	1,483
Poil de Renarbo	1,497
Arakne Majeure Morte	1,5
Langue de Tiwabbit Kiafin	1,5
Moustache du Mufafah	1,5
Queue de Sanglier des Plaines	1,5
Plume de Tofubine	1,508
Corail usé	1,515
Ver d'Air	1,515
Ver de Feu	1,515
Ver de Terre	1,515
Ver d'Eau	1,515
Dent de Bourbassingue	1,529
Plume de fesse du Kido	1,529
Patte de Corbac	1,531
Dent de Wabbit	1,56
La cambriole pour les Nuls	1,563
Oreilles du Tiwabbit	1,563
Peau de Larve Saphir	1,563
Peau de Shin Larve	1,563
Plume du Kwakwa	1,563
Sacrum magistral	1,563
Patte de Tofu Dodu	1,585
Bourgeon de Fourbasse	1,591
Glouto Rhum	1,591
Fragment de cerveau poli	1,604
Carapace vide de Crabe	1,627
Côtes de Porkass	1,627
Dentier du Chafer d'Élite	1,627
Fémur du Chafer Archer	1,627
Langue d'Étoile	1,627
Linceul	1,627
Makroute Déchiqueté	1,627
Muqueuse de Moumoule	1,627
Œil d'Abrakne	1,627
Ours Déchiqueté	1,627
Peau de Raul Mops	1,627
Poils de Black Tiwabbit	1,627
Slip en cuir de Porkass	1,627
Touffe de Cheveux Blancs	1,627
Nacre brute	1,63
Aile du Bitouf des Plaines	1,634
Écaille de Crocodaille	1,635
Corne de Dragacé	1,637
Corne de Dragmatique	1,637
Peau de Dragnarok	1,637
Peau de Draguaindrop	1,637
Peau de Dragueuse	1,637
Potion de Souvenir	1,65
Duvet du Kilibriss	1,664
Peau de Mandrine	1,664
Peau de Minoskito	1,664
Blop mort	1,685
Pierre de Rubis	1,688
Peau de Larve Émeraude	1,693
Peau de Cochon de Farle	1,708
Morceau de clef Coco	1,725
Morceau de clef Griotte	1,725
Morceau de clef Indigo	1,725
Morceau de clef Reinette	1,725
Pierre de Cristal	1,743
Os de Crocodaille	1,744
Kamiam	1,75
Étoffe du Wabbit	1,761
Poil de Gamino	1,764
Fragment d'Os	1,766
Poils de Guerrier Koalak	1,778
Tibia de Koalak Fossoyeur	1,778
Vieille Ventouse de Kralamoure	1,778
Clef du Château Ensablé	1,78
Flûte de Mastodonte	1,8
Rune Ré Per Air	1,8
Rune Ré Per Eau	1,8
Rune Ré Per Feu	1,8
Rune Ré Per Neutre	1,8
Rune Ré Per Terre	1,8
Slip en cuir de Cochon de Lait	1,804
Oreille de Bouftonmouth	1,812
Peau de Larve Rubis	1,831
Houpette de Koalak Sanguin	1,843
Viande Séchée	1,846
Épine de Bulbuisson	1,853
Épine de Grath	1,853
Langue de Grenufar	1,853
Œil de Morcac	1,853
Palpe de Pikbul	1,853
Patte de Pupuce	1,853
Peau de Gériatique	1,853
Pistil de Floristile	1,853
Pollen de Bulbiflore	1,853
Tige de Bambouto	1,853
Lait de Tortue	1,866
Noix de Kokoko	1,866
Peau de Chevaucheur Koalak	1,901
Métaria bleue	1,903
Métaria jaune	1,903
Métaria rouge	1,903
Métaria verte	1,903
Crâne magique de Rate Atinée	1,919
Oreille de Rat Plapla	1,919
Tuyau Rouillé de Rate Iboisée	1,919
Vieux Bouquin de Rat Li	1,919
Pom de Pin	1,922
Feuille de Blop Royal	1,952
Foulard de Koalak Farouche	1,969
Laine de Boufmouth	1,976
Bourgeon d'Abraknyde Sombre Irascible	1,977
Peau de Larve Dorée	1,978
Rune de Signature	1,98
Plume du Serpiplume	1,984
Masque Cassé d'Araknotron Irascible	2
Relique du Corailleur Magistral	2
Pierre de Topaze	2,004
Jeton du Chazino du Grand Jeu	2,025
Rune Pa Prospe	2,025
Rune Pa Sa	2,025
Queue de Black Wabbit	2,033
Couche usagée de Warko Violet	2,038
Cubitus de Momie Koalak	2,038
Crâne de Wabbit Squelette	2,054
Ambre d'Abraknyde	2,081
Corne de Boufmouth de guerre	2,104
Patte d'Abrakne Irascible	2,121
Peau de Don Duss Ang	2,154
Laine de Boufmouth légendaire	2,174
Crâne d'Aventurier	2,177
Peau de Maître Koalak	2,177
Osselet de Black Wabbit Squelette	2,212
Crinière de Troollaraj	2,214
Carniflore	2,228
Éclat du Mawabouaino	2,228
Gelée Bleuet Royale	2,228
Gelée Citron Royale	2,228
Gelée Fraise Royale	2,228
Gelée Menthe Royale	2,228
Poil du Wa Wabbit	2,228
Première partie de la clef du labyrinthe du Dragon Cochon	2,235
Teinture Magique Sombre	2,235
Pompon Brunâtre	2,236
Doigt de Branche Invocatrice	2,246
Feuille de Branche Soignante	2,246
Enfumoir Zoth	2,249
Ébonite	2,25
Huile de Riz	2,25
Planche à Griller	2,25
Gâtrool	2,251
Gratrooll	2,251
Poil de Troolléolé	2,251
Clef de la Cour du Bouftou Royal	2,254
Boomerang Abîmé de Diamantine	2,304
Dédicace de Skeunk pour Émeraude	2,304
Épingle à Cheveux de Saphira	2,304
Touffe de Poils de Rubise	2,304
Fiole à élément	2,32
Peau de Don Dorgan	2,333
Casque cassé de Bwork	2,344
Duvet de Bourdard	2,367
Pierre de Saphir	2,376
Viande Saignante	2,378
Courroie en cuir	2,38
Poils de Wo Wabbit	2,38
Venin de Serpentin	2,38
Fléau de Robot Fléau	2,392
Oreille du Grand Pa Wabbit	2,392
Dents de Wabbit Vampire	2,403
Feuille de Cawotman	2,403
Œil de Wabbit Céphale	2,403
Oreilles de Wabbit Fluo	2,403
Pixel de Segmantid	2,403
Sang de Wabbit Garou	2,403
Duvet de Truchon	2,404
Grelot	2,405
Minerai Étrange	2,418
Peau de Larve Champêtre	2,43
Bidule inutile	2,444
Œil de Truchtine	2,444
Corne de Gamino	2,446
Dent en Or de Craqueleur	2,448
Rune Ré Pa	2,45
Rune Ré Pme	2,45
Rune Ret Pa	2,45
Rune Ret Pme	2,45
Huile de Pichon	2,475
Plume de Truchideur	2,483
Jouet de Gamine Zoth	2,487
Croupion de Truchmuche	2,611
Pierre du Craqueleur Légendaire	2,621
Jeton du Bworker	2,625
Peau de Rat	2,646
Teinture Magique Bleutée	2,648
Patte de Gruche	2,652
Pierre Précieuse Zoth	2,652
Pierre de Crystaloboule	2,662
Boules de Kanniboul	2,683
Rune Pata Pui	2,7
Rune Pata Ré Cri	2,7
Rune Ra Per Pi	2,7
Rune Ra Pui	2,7
Rune Ra Ré Air	2,7
Rune Ra Ré Cri	2,7
Rune Ra Ré Eau	2,7
Rune Ra Ré Feu	2,7
Rune Ra Ré Neutre	2,7
Rune Ra Ré Pou	2,7
Rune Ra Ré Terre	2,7
Rune Rata Pui	2,7
Rune Ta Pui	2,7
Rune Ta Ré Cri	2,7
Rune Ta Ré Per Air	2,7
Rune Ta Ré Per Eau	2,7
Rune Ta Ré Per Feu	2,7
Rune Ta Ré Per Neutre	2,7
Rune Ta Ré Per Terre	2,7
Rune Ta Ré Pou	2,7
Queue d'Écumouth	2,719
Fleur de Kaliptus	2,765
Plume du Timansot	2,801
Langue de Craquelope	2,817
Substrat de Buisson	2,85
Aile de dragodinde	2,868
Pixel de Brikablak	2,884
Pixel de Farfacette	2,884
Pixel de Gromorso	2,884
Pixel d'Éklatleth	2,884
Bave de muldo	2,887
Clef de la Maison Fantôme	2,887
Griffe de volkorne	2,887
Cœur de Craqueleur	2,896
Boulier Zoth	2,924
Osier Sombre	2,938
Teinture Magique Orange	2,948
Touffe rousse du Flib	2,967
Boue Mature	2,986
Cendres Matures	2,986
Flaque Mature	2,986
Fumée Mature	2,986
Peau de Mansobèse	2,987
Akaslip d'Akakwa	3
Baguette de Tétonuki	3
Bandelette de Tromblion	3
Bec de Kwakao	3
Blé d'Or	3
Concombre	3
Cuir du Sanglacier	3
Enrobage de Chocoskargo	3
Estomac de Mansocolat	3
Fleur de Cactiflore	3
Foulard de Milimaître	3
Goujon Kiye	3
Katana de Kwamouraï	3
Lunettes de Parashukouï	3
Maraca de Lévito	3
Masque de Shinibaru	3
Moustaches de Cactoblongo	3
Oreille de Kakoalak	3
Ortie Roïde	3
Os de Sramouraï	3
Parchemin de Cactana	3
Pelage chocolaté	3
Poils de Smilomouth	3
Poing rocheux d'Ishigro Pake	3
Poterie cassée de Lolojiki	3
Relique de Gourlo le Terrible	3
Salopette Kwapa	3
Sarbacane en Bambou	3
Sève de Frêne	3
Slip d'Elsoummo	3
String de Pampactus	3
Viande Persillée	3,005
Humérus du Sparo	3,069
Duvet de Nelween	3,14
Étoffe de Draegnerys	3,14
Morceau de caleçon de Gourlo	3,14
Baballe	3,174
Barbe inexistante du Barbroussa	3,174
Diamant	3,176
Coffre de Pièges à Chasseur	3,191
Duvet de Mamansot	3,201
Calumet Zoth	3,222
Oreille percée du Fricochère	3,222
Méga Pierre du Craqueleur	3,263
Bractée de Chiendent	3,271
Viscères de Scorbute	3,281
Sacoche de Kartouche	3,283
Poil de barbe du Shamansot	3,319
Sépale de Nerbe	3,319
Oreille de Kaniglou	3,346
Collier Cassé de Macien	3,354
Fibre criminelle	3,354
Fragment d'Épée Reptilienne	3,354
Kolérat Mort	3,354
Œil de Crowneille	3,354
Clef de la Cache de Kankreblath	3,366
Clef du Donjon des Tofus	3,366
Carpelle de Brouture	3,368
Dent de dragodinde	3,372
Aile de dragodinde rousse sauvage	3,391
Étoffe de Foufayteur	3,391
Calice de Fécorce	3,418
